x_1,x_2,y
4.399999999999999745e-02,6.011999999999999983e-02,1.0
4.696000000000000174e-02,7.882999999999999730e-02,1.0
4.438000000000000278e-02,6.986000000000000543e-02,1.0
4.615999999999999964e-02,5.666999999999999815e-02,1.0
5.015000000000000013e-02,4.653000000000000191e-02,1.0
3.814000000000000029e-02,6.343999999999999639e-02,1.0
5.086999999999999855e-02,5.324000000000000260e-02,1.0
4.682999999999999663e-02,6.654999999999999805e-02,1.0
4.268999999999999878e-02,9.631000000000000671e-02,1.0
1.544000000000000060e-02,5.239700000000000468e-01,0.0
4.381000000000000172e-02,5.550999999999999684e-02,1.0
1.624000000000000096e-02,6.026700000000000390e-01,0.0
1.305000000000000084e-02,5.068700000000000427e-01,0.0
1.524999999999999967e-02,5.717299999999999605e-01,0.0
5.263999999999999929e-02,6.625000000000000333e-02,1.0
1.881000000000000033e-02,4.520899999999999919e-01,0.0
4.662000000000000172e-02,6.905999999999999639e-02,1.0
4.812999999999999917e-02,5.240999999999999825e-02,1.0
4.279999999999999777e-02,5.491000000000000048e-02,1.0
1.655999999999999833e-02,5.787200000000000122e-01,0.0
4.546000000000000041e-02,6.112000000000000072e-02,1.0
1.533999999999999947e-02,5.578600000000000225e-01,0.0
5.197000000000000230e-02,6.360000000000000375e-02,1.0
1.365000000000000067e-02,6.438000000000000389e-01,0.0
1.277000000000000010e-02,3.875000000000000111e-01,0.0
1.531000000000000069e-02,5.730800000000000338e-01,0.0
2.035999999999999963e-02,6.162999999999999590e-01,0.0
4.261000000000000204e-02,4.963000000000000050e-02,1.0
5.666999999999999815e-02,6.310999999999999943e-02,1.0
1.473000000000000004e-02,4.521999999999999909e-01,0.0
1.239999999999999956e-02,4.316699999999999982e-01,0.0
5.304999999999999993e-02,5.437999999999999778e-02,1.0
4.211999999999999772e-02,5.340999999999999914e-02,1.0
4.680000000000000132e-02,5.129000000000000226e-02,1.0
5.759999999999999842e-02,4.984000000000000236e-02,1.0
1.572000000000000133e-02,6.225800000000000223e-01,0.0
1.056999999999999953e-02,6.409700000000000397e-01,0.0
1.363999999999999935e-02,5.195199999999999818e-01,0.0
1.379000000000000017e-02,6.337899999999999645e-01,0.0
1.536999999999999998e-02,5.138000000000000345e-01,0.0
1.484000000000000076e-02,4.631399999999999961e-01,0.0
5.106999999999999734e-02,6.103000000000000091e-02,1.0
4.424999999999999767e-02,5.628999999999999976e-02,1.0
1.426000000000000011e-02,6.087299999999999933e-01,0.0
4.868999999999999717e-02,8.197000000000000119e-02,1.0
3.960000000000000325e-02,7.695000000000000451e-02,1.0
1.302000000000000032e-02,4.121500000000000163e-01,0.0
5.297000000000000319e-02,9.493999999999999662e-02,1.0
1.607000000000000095e-02,6.481099999999999639e-01,0.0
4.386000000000000315e-02,4.705000000000000154e-02,1.0
1.580000000000000154e-02,5.267199999999999660e-01,0.0
4.567000000000000226e-02,5.040000000000000036e-02,1.0
4.071999999999999925e-02,6.783000000000000140e-02,1.0
1.541000000000000009e-02,5.483900000000000441e-01,0.0
1.484000000000000076e-02,5.824599999999999778e-01,0.0
4.014999999999999819e-02,6.819000000000000061e-02,1.0
1.796000000000000027e-02,5.743599999999999817e-01,0.0
1.417000000000000030e-02,4.593400000000000261e-01,0.0
1.602999999999999911e-02,6.291900000000000270e-01,0.0
5.124000000000000082e-02,5.154000000000000248e-02,1.0
1.353000000000000036e-02,4.102500000000000036e-01,0.0
